Scenario;Country;BVD_level;PTB_level;SAL_level;BDV_inc;PTB_inc;SAL_inc;NetReturn_PrCowYr;ReplacementRate;CowMortRate;CullRate;N_BoughtHeif;Income_Milk;Income_Slaughter;Income_HeifSale;Income_CalfSale;Income_StatusHeif;Income_StatusCow;Income_Total;Cost_FeedCows;Cost_FeedYoungstock;Cost_BoughtHeif;Cost_TreatmentsCows;Cost_Insem;Cost_OtherCow;Cost_OtherHeif;Cost_Total;MilkFever_inc;Dystocia_inc;RetPlacenta_inc;Metritis_inc;DisplAbomasum_inc;Ketosis_inc;Mastitis_inc
1;CAN;mean_p0;mean_p0;mean_p0;0;0;0;30944.558810231;31.3326332080909;7.59987422131382;23.7327589867771;0.08;766667.267073018;34381.3860996923;15216.6153846154;22368.192;220.74246153846;3.14473846153854;838857.347757326;246975.976831015;48651.6547784615;73.8461538461538;7894.70830769231;7010.75076923077;19343.7382840237;31947.7747715976;361898.449895867;2.79879703239569;1.95633893206824;6.41403548489178;8.95729908396359;2.62906569350586;10.2428967094196;21.3741250342383
2;CAN;mean_p0;mean_p0;p1_low;0;0;4.62810814075864;30747.7641410418;32.4118064328306;7.42533558873602;24.9864708440946;0.04;763184.23016183;36028.4061827692;13155.0769230769;22515.108;121.785846153846;7.33772307692305;835011.944836907;246231.939278769;48521.3263630769;36.9230769230769;8173.70553846154;6986.49230769231;19340.686183432;31869.6859372781;361160.758685633;2.66542938472853;1.94268966835577;6.44498491623164;8.95870822921748;2.63349789025333;9.93902425064057;21.6410182070923
3;CAN;mean_p0;mean_p0;p1_mid;0;0;18.5911476696311;30001.8804809419;34.7248264154188;7.89803826228076;26.8267881531381;0.064;750914.737289874;38562.3005230769;7166.76923076923;22822.8;-1.4027692307702;18.8684307692307;819484.072705259;243488.193549785;47548.5126769231;59.0769230769231;8972.56184615385;6845.76;19327.2673372781;31206.9939674556;357448.366300672;2.56142510551294;2.01796078226676;6.45146975097495;9.09878041591871;2.54541219096986;9.58625969106315;20.7629751463203
4;CAN;mean_p0;mean_p0;p1_high;0;0;42.804845585311;28011.0555174152;33.637513712603;8.40174144810371;25.2357722644993;1.076;711687.792792125;36679.8721827692;2988;20824.188;-896.748000000001;-7.33772307692293;771275.767251818;234290.146220308;42398.3928676923;993.230769230769;9975.60123076923;6000.25846153846;19290.0703254438;27780.2989804734;340727.998855456;2.23804876676316;1.89574357525754;5.68517463874359;8.37156237984648;2.37817129238466;8.60579525313997;19.3316473895764
5;CAN;mean_p0;p1_low;mean_p0;0;4.63424742600472;0;30805.2025738029;32.382825244514;7.6791823611349;24.7036428833791;0.048;764748.618184242;35699.9821310769;13672.3076923077;22510.488;130.811846153846;-1.04824615384641;836761.159607626;246592.709364185;48797.0574369231;44.3076923076923;8201.128;7017.78461538461;19340.0623964497;32047.4171366864;362040.466641936;2.73341966376569;1.98269479132024;6.62094171130891;9.10274363198847;2.73538746179135;10.0791158114981;21.7695068375609
6;CAN;mean_p0;p1_low;p1_low;0;4.6634528116114;4.69344207982433;30557.2184269075;33.4572202049048;7.82508694059699;25.6321332643079;0.06;760481.543730571;36974.7427901538;11507.3846153846;22750.728;-61.4083076923066;6.28947692307691;831659.280305341;245652.015043938;48606.4702092308;55.3846153846154;8353.01630769231;6966.16615384615;19334.7453550296;31921.5004733728;360889.298158495;2.63429721800672;1.93928585472132;6.49490112187785;9.11523016422102;2.65827762130938;9.74635282817501;21.312157081113
7;CAN;mean_p0;p1_low;p1_mid;0;4.81999388105831;18.7943543880144;29797.6197691954;35.5404931019856;8.06935574529844;27.4711373566871;0.072;747942.552042342;39477.1979095385;6151.38461538462;22710.996;29.8090769230757;6.289476923077;816318.229121112;242833.218907569;47867.2984923077;66.4615384615385;9203.61046153846;6799.01538461538;19323.7993786982;31417.0491349112;357510.453298102;2.50990586605798;2.00233829315398;6.4626251508507;9.19234124425581;2.61582522683182;9.4101239317886;20.774720444765
8;CAN;mean_p0;p1_low;p1_high;0;4.39948879617723;41.7445512402303;27584.5508571438;33.2783898998123;8.27413354544959;25.0042563543627;2.348;701662.056737881;36422.0723630769;2952.30769230769;20197.716;-1051.67476923077;-44.0263384615383;760138.451685574;231855.506637785;40967.5913784615;2167.38461538462;9864.67876923077;5726.65846153846;19265.5272781065;26836.5504881657;336683.897628672;2.10252144564638;1.84405778813292;5.59419724285186;8.11143686333289;2.3390972821517;8.16963938255893;18.7528371542182
9;CAN;mean_p0;p1_mid;mean_p0;0;19.2598960976756;0;30330.2093544296;35.3821335534292;8.1715250010329;27.2106085523963;0.052;758160.71163154;39117.8175169231;8765.84615384615;22879.164;93.8303076923066;9.43421538461533;829026.803825386;245167.483090708;49295.1121261538;48;8748.56830769231;6955.25538461539;19327.8762721893;32377.972108284;361920.267289643;2.53735771611112;2.05185547648101;6.42127799417383;9.14842150459707;2.67721366265116;9.6219352816917;21.6313921903827
10;CAN;mean_p0;p1_mid;p1_low;0;19.2371374924279;4.77979573257155;30072.2768336195;35.8475843814816;8.20683775604845;27.6407466254332;0.052;753431.741086026;39716.8065858462;7033.84615384615;22777.524;205.321999999999;3.14473846153828;823168.38456418;244110.637705846;48754.7451169231;48;8998.57046153846;6855.78461538462;19324.6756508876;32018.5103461538;360110.923896734;2.5038050474716;2.07018089285636;6.48229726463367;9.18991558662195;2.5537486089404;9.43772161965133;21.3612458797847
11;CAN;mean_p0;p1_mid;p1_mid;0;18.5256605263524;18.0538091650955;29236.754186161;35.8048075608984;8.41116566508986;27.3936418958085;0.156;737272.149421479;39492.285952;3426.46153846154;22042.944;-367.556923076922;-7.33772307692334;801858.946265786;240299.142141046;46005.1918030769;144;9550.31815384615;6398.30769230769;19314.2866272189;30197.9773846154;351909.223802111;2.36118366148481;2.06130209833776;6.12590474812042;8.87098340918747;2.41916566722064;8.92095362929876;20.5289960593511
12;CAN;mean_p0;p1_mid;p1_high;0;16.0212623836807;39.4673734947874;26277.8600089048;34.3097207045639;8.65270893061627;25.6570117739476;9.044;672966.755270992;37373.624256;2712.30769230769;18889.332;-783.228769230769;-68.1359999999999;731090.654450069;224872.577643323;37867.6381261538;8348.30769230769;9692.75292307692;5162.95384615385;19159.0156508876;24818.0996674556;329921.345549359;1.73323785258296;1.8804194838977;5.2242114159586;7.57427017492295;2.10209896550186;7.19306110871261;17.7321315402573
