measure,name,measure_detailed,domain,disease,mean,lower,upper,reference,link,notes
calving_pen_hygiene,Hygiene (calving pen),calving_pen_is_cleaned_between_each_calving,within_herd,ptb,1.69,1.36,2.1,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes."
calving_pen_hygiene,Hygiene (calving pen),manure_removed_from_bedding_surface_after_every_calving_or_at_least_twice_per_month,within_herd,sal,8.5,1.8,39.6,"Perry et al., 2023",https://www.sciencedirect.com/science/article/pii/S0022030223005659,
calving_separation,Calving separation,single_cow_in_calving_pen,within_herd,ptb,1.67,1.39,1.99,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes."
calving_separation,Calving separation,individual_calving_pen,within_herd,bvd,1.16,1.03,1.32,"Bisschop et al., 2025",https://www.sciencedirect.com/science/article/pii/S0022030224011895,
calving_separation,Calving separation,three_or_less_cows_per_calving_pen,within_herd,sal,22.96,5.96,88.49,"Perry et al., 2023",https://www.sciencedirect.com/science/article/pii/S0022030223005659,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes. The joint effect of the combined OR and the estimate for calves only being born in the calving area was then estimated by multiplying their adjusted odds ratios and approximating the 95% confidence interval by summing variances on the log-odds scale under an independence assumption."
cow_lying_area_hygiene,Hygiene (cow lying area),hygiene_feeders_water_supplies_beds,within_herd,ptb,0.25,0.12,0.54,"Steuer et al., 2015",https://link.springer.com/article/10.1007/s11250-015-0885-5,
dedicated_calf_housing,Dedicated calf housing,calves_in_single_pens_away_from_main_housing,within_herd,ptb,1.43,1.15,1.77,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes."
dedicated_calving_area,Dedicated calving area,calving_area_never_used_for_noncalving_cows_and_calves_only_born_in_calving_area,within_herd,ptb,2.03,1.52,2.72,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes. The joint effect of the combined OR and the estimate for calves only being born in the calving area was then estimated by multiplying their adjusted odds ratios and approximating the 95% confidence interval by summing variances on the log-odds scale under an independence assumption."
external_personnel_hygiene,Hygiene (external personnel),farmer_contact_with_other_cattle,herd_level,bvd,1.25,1.06,1.47,"Bisschop et al., 2025",https://www.sciencedirect.com/science/article/pii/S0022030224011895,
heifer_cow_cograzing,No heifer-cow cograzing,heifers_graze_cow_pasture,within_herd,sal,0.44,0.22,0.89,"O'Doherty et al., 2014",https://www.sciencedirect.com/science/article/pii/S175173111400055X,
preweaned_calf_separation,Preweaned calf separation,solid_walls_separating_preweaned_calves,within_herd,sal,5.4,1.3,24,"Nielsen et al., 2012",https://www.sciencedirect.com/science/article/pii/S016758771200030X,"Reflects prevention of calf exposure rather than herd-level infection status, so should be interpreted as a proxy for herd-level effects."
quarantine_purchased,Quarantine (purchased),quarantine_newly_purchased_animals,herd_level,bvd,1.1,1,2.5,"Talafha et al., 2009",https://link.springer.com/article/10.1007/s11250-008-9214-6,
quarantine_sick,Quarantine (sick),quarantine_sick_animals,within_herd,bvd,0.06,0.05,0.83,"Machado et al., 2014",https://onlinelibrary.wiley.com/doi/full/10.1111/tbed.12219,
secure_fencing,Secure fencing,no_cattle_breakins_or_breakouts,herd_level,ptb,1.46,1.12,1.77,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,"Combined adjusted estimates for all comparator categories into a single comparator, weighted by category sample sizes. The joint effect of the combined OR and the estimate for calves only being born in the calving area was then estimated by multiplying their adjusted odds ratios and approximating the 95% confidence interval by summing variances on the log-odds scale under an independence assumption."
secure_fencing,Secure fencing,no_cattle_breakins,herd_level,bvd,1.16,1.01,1.33,"Bisschop et al., 2025",https://www.sciencedirect.com/science/article/pii/S0022030224011895,
dedicated_calf_housing,Dedicated calf housing,not_housing_young_calves_and_dairy_cows_same_barn,within_herd,bvd,1.22,1.08,1.38,"Bisschop et al., 2025",https://www.sciencedirect.com/science/article/pii/S0022030224011895,
springing_cows_hygiene,Hygiene (springing cows),springing_cows_no_visible_manure_hindlegs_forelegs_flanks,within_herd,ptb,1.97,1.16,3.31,"Meek et al., 2023",https://bvajournals.onlinelibrary.wiley.com/doi/full/10.1002/vro2.71,
water_course_security,Water course security,cattle_never_access_water_courses_that_passed_through_other_farms,herd_level,sal,5.3,1.34,20.97,"O'Doherty et al., 2014",https://www.sciencedirect.com/science/article/pii/S175173111400055X,
wildlife_pest_control,Wildlife and pest control,not_a_high_incidence_of_wildlife_on_farm,herd_level,sal,11.9,1.7,84.1,"Wang et al., 2023",https://link.springer.com/article/10.1186/s44149-023-00085-9,
